x,y,z,x_quat,y_quat,z_quat,w_quat,speed
89636.74868566051,43183.52712241832,6.5,0.0,0.0,-0.2972437541244765,0.954801628943933,7.74684362396337
89637.39999020135,43183.10669369722,6.5,0.0,0.0,-0.26190777563476036,0.9650929059225604,7.751578341559066
89638.11679017894,43182.72553239018,6.5,0.0,0.0,-0.22229478446058973,0.9749795017340723,7.74658490861051
89638.79253509821,43182.436875091706,6.5,0.0,0.0,-0.17912076072942062,0.983827095111592,7.749629472463285
89639.56809249896,43182.1789508916,6.5,0.0,0.0,-0.13984983596115663,0.9901727240141679,7.738177835552866
89640.31674975346,43181.99755803451,6.5,0.0,0.0,-0.09650253014094415,0.9953327391764003,7.722154024865991
89641.07699207582,43181.88358350364,6.5,0.0,0.0,-0.05131113262318177,0.9986827162161795,7.707495670566268
89641.80465929842,43181.84425930638,6.5,0.0,0.0,-0.0036765386615168947,0.9999932415088966,7.6856119164767875
89642.62608105906,43181.87219270161,6.5,0.0,0.0,0.03593842290393902,0.9993540062256105,7.517953757620926
89643.2754228043,43181.95017846169,6.5,0.0,0.0,0.08197204853791366,0.9966346287674827,7.34961209197945
89644.02188242105,43182.10336264059,6.5,0.0,0.0,0.12230475854699856,0.9924925924342006,7.264530534642372
89644.70111557578,43182.306972539154,6.5,0.0,0.0,0.16069274225031485,0.9870044795177344,7.272289643252263
89645.44902517226,43182.58071771704,6.5,0.0,0.0,0.19171383331448974,0.9814508679072346,7.302474914311793
89646.05252148886,43182.855876460046,6.5,0.0,0.0,0.22831069131982096,0.9735883258487981,7.3308155498945204
89646.7620749677,43183.23238621934,6.5,0.0,0.0,0.25638018847010574,0.9665760182003447,7.37768053479657
89647.33407074261,43183.587178445516,6.5,0.0,0.0,0.285488704354044,0.958382073959154,7.4296346012991075
89647.95593100438,43184.01291343842,6.5,0.0,0.0,0.3029714323981745,0.9529996385889128,7.464262151805499
89648.68788580918,43184.54475149922,6.5,0.0,0.0,0.31133527225283975,0.9503001358787918,7.544697630670425
89649.29954114824,43184.99915100458,6.5,0.0,0.0,0.31143018094849567,0.9502690368492426,7.574880558332021
89649.91890721665,43185.4487250438,6.5,0.0,0.0,0.30298872275666383,0.9529941415781555,7.646056015167478
89650.54457747132,43185.87985105519,6.5,0.0,0.0,0.28690445961338723,0.957959201142695,7.609776240772563
89651.16883064163,43186.271191086555,6.5,0.0,0.0,0.2642842670741516,0.9644448279591107,7.380447654919497
89651.80885443,43186.62899820479,6.5,0.0,0.0,0.23749395249199867,0.971389017093424,7.341711121592374
89652.46792366881,43186.94680372479,6.5,0.0,0.0,0.20462420720862787,0.9788406069551061,7.390101787223017
89653.15843737245,43187.21903737938,6.5,0.0,0.0,0.16642790885412995,0.9860536248878361,7.4408754390437375
89653.90790873856,43187.44714360901,6.5,0.0,0.0,0.1263904205347983,0.9919805752115496,7.49786417636462
89654.61122269847,43187.595351542215,6.5,0.0,0.0,0.08157920700528588,0.9966668615863521,7.517341434471985
89655.36517193093,43187.687312586764,6.5,0.0,0.0,0.03338583698947868,0.9994425375620711,7.583704860766994
89656.35325885242,43187.71186510438,6.5,0.0,0.0,-0.011961593838314058,0.9999284575772645,7.619927925030202
89657.07103112029,43187.64649423629,6.5,0.0,0.0,-0.07074070042991529,0.99749473848371,7.517761210565979
89657.77068702487,43187.50980547289,6.5,0.0,0.0,-0.1210093749722567,0.9926513643615384,7.438530146413863
89658.47106287313,43187.30000273223,6.5,0.0,0.0,-0.1729931181756548,0.984923033065967,7.29511277139272
89659.17186675202,43187.001927582685,6.5,0.0,0.0,-0.22851005933673205,0.9735415516463194,7.276874671645413
89659.79586982184,43186.64182276007,6.5,0.0,0.0,-0.2871801911136742,0.9578765775567923,7.278215988734511
89660.34326916798,43186.23016267903,6.5,0.0,0.0,-0.3453745285194856,0.9384649354397547,7.283806184170077
89660.86685334396,43185.73004389891,6.5,0.0,0.0,-0.4007525927390488,0.9161863126094659,7.263992807041842
89661.32581889095,43185.16722887595,6.5,0.0,0.0,-0.4557804144274981,0.8900922501765185,7.267565541196436
89661.75131491643,43184.50233895194,6.5,0.0,0.0,-0.5063168213359258,0.8623475380797954,7.263592230119112
89662.02956982856,43183.90607163029,6.5,0.0,0.0,-0.5631493892597782,0.8263551085195389,7.237592997992383
89662.26524282758,43183.19446088982,6.5,0.0,0.0,-0.6113709555031474,0.7913441443311302,7.205786512959152
89662.38823921088,43182.53134225558,6.5,0.0,0.0,-0.6659966139942949,0.7459547641433321,7.173826877589707
89662.42201305737,43181.81472607161,6.5,0.0,0.0,-0.7136651404187428,0.7004870215436515,7.14980884168442
89662.3614507575,43181.09412424632,6.5,0.0,0.0,-0.7550412185664561,0.6556773278569887,7.137782360156876
89662.21704645554,43180.36693811417,6.5,0.0,0.0,-0.7908508899670353,0.6120088805224546,7.130165807602007
89662.00416090255,43179.71558476107,6.5,0.0,0.0,-0.8233309901937496,0.5675615214111858,7.13328601386916
89661.7229109832,43179.06879921591,6.5,0.0,0.0,-0.8558983213165609,0.5171441419638176,7.1193809085835
89661.26311565221,43178.30519262693,6.5,0.0,0.0,-0.8844798967014257,0.4665783024649081,7.119710254100941
89660.82771122381,43177.76017674908,6.5,0.0,0.0,-0.9117379703834809,0.41077228894000495,7.122257842978405
89660.32685522285,43177.246692733344,6.5,0.0,0.0,-0.9308693544111306,0.36535222049168525,7.115304548672512
89659.7833082804,43176.79106568126,6.5,0.0,0.0,-0.9488298753378626,0.3157876939754559,7.111562148831579
